;H+1;Li+1;Na+1;K+1;F+1;N+1;C+2;Ca+2;Fe+2;S+2;Cu+2;Fe+3;Al+3;N+3;C+4;S+4;S+6;H2O;H-1;O-1;O-2;OH-1;Cl-1;(ClO)-1;(SO2)-2;(SO3)-2;(SO4)-2;CO2;Energy
H+1;H2;;;;;;;;;;;;;;;;;;;H2O2;H2O;;;HClO;H2SO2;H2SO3;H2SO4;;
Li+1;;Li2;;;;;;;;;;;;;;;;;LiH;;Li2O;;LiCl;;;;;;
Na+1;;;;;;;;;;;;;;;;;;;;;;NaOH;NaCl;;;;;;
K+1;;;;;;;;;;;;;;;;;;;;;;KOH;;;;;;;
F+1;;;;;;;;;;;;;;;;;;;HF;;;;;;;;;;
N+1;;;;;;;;;;;;;;;;;;;;;N2O;;;;;;;;
C+2;;;;;;;;;;;;;;;;;;;;;CO;;;;;;;;
Ca+2;;;;;;;;;;;;;;;;;;;CaH2;;CaO;;CaCl2;;;;;;
Fe+2;;;;;;;;;;;;;;;;;;;FeH2;;FeO+heat;;;;;;;;
S+2;;;;;;;;;;;;;;;;;;;H2S;;;;;;;;;;
Cu+2;;;;;;;;;;;;;;;;;;;;CuO2;;;;;;;;;
Fe+3;;;;;;;;;;;;;;;;;;;Fe2H3;;Fe2O3+heat;;;;;;;;
Al+3;;;;;;;;;;;;;;;;;;;AlH3;;Al2O3;Al(OH)3;AlCl3;;;;;;
N+3;;;;;;;;;;;;;;;;;;;NH3;;;;;;;;;;
C+4;;;;;;;;;;;;;;;;;;;CH4;;CO2;;;;;;;;
S+4;;;;;;;;;;;;;;;;;;;;;SO2;;;;;;;;
S+6;;;;;;;;;;;;;;;;;;;;;S2O3;;;;;;;;
H2O;;;;;;;;;;;;;;;;;;;;;;;;;;;;C6H12O6+6O2;2H2+O2
H-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O-2;;;;;;;;;;;;;;;;;;;;;O2;;;;;;;;
OH-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cl-1;;;;;;;;;;;;;;;;;;;;;;;Cl2;;;;;;
(ClO)-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(SO2)-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(SO3)-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(SO4)-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CO2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
