Symbol,Name,Image,Description,Appearance,Boiling Point (ºC),Melting Point (ºC)
LiH,Lithium hydride,,"LiH is a chemical compound that reacts explosively with water to give hydrogen gas and LiOH, which is caustic. Consequently, LiH dust can explode in humid air, or even in dry air due to static electricity. With a molecular mass of slightly less than 8, it is the lightest ionic compound.",colorless to gray solid,900–1000 ,688.7
HF,Hydrogen fluoride,,"Hydrogen fluoride is a highly dangerous gas, forming corrosive and penetrating hydrofluoric acid upon contact with moisture. t is an important feedstock in the preparation of many important compounds including pharmaceuticals and polymers",colourless gas or colourless liquid,19.5 °C,−83.6
CaH2,Calcium hydride,,Calcium hydride has been used for hydrogen production and as drying agent.,gray powder (white when pure),NA,816
FeH2,Iron dihydride,,"Even though complexes containing dihydridoiron was known since 1931, the simple compound  is only a much more recent discovery.",black amorphous solid powder,NA,NA
H2S,hydorgen sulfide,,"Hydrogen sulfide is commonly found in raw natural gas and biogas. It is a broad-spectrum poison, meaning that it can poison several different systems in the body, although the nervous system is most affected. ",Colorless gas,−60,−82
AlH3,Aluminium hydride,,Alane is a polymer. Aluminium hydride have been discussed for storing hydrogen in hydrogen-fueled vehicles.,white crystalline volatile solid,NA,150
NH3,Hydrogen nitride,ammonia.png,"Ammonia contributes significantly to the nutritional needs of terrestrial organisms by serving as a precursor to food and fertilizers. Ammonia, either directly or indirectly, is also a building block for the synthesis of many pharmaceutical products and is used in many commercial cleaning products",Colourless gas,-33.34,-77.73
CH4,Carbon tetrahydride,methane.png,"Methane is the main constituent of natural gas. The relative abundance of methane on Earth makes it an attractive fuel, though capturing and storing it poses challenges due to its gaseous state under normal conditions. It is found both below ground and under the sea floor.",Colorless gas,−161.49,−182.5
H2O2,Hydrogen peroxide,,Hydrogen peroxide is unstable and slowly decomposes in the presence of base or a catalyst. It is found in biological systems including the human body. ,Very light blue color and colorless in solution,150.2,−0.43
CuO2,Copper peroxide,,Copper peroxide readily decomposes at temperatures above 6°C whn wet. It is far more stable when dry.,dark olive-green,NA,NA
